"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,record_identifiers,,text,"Record ID",,,,,,,,,,,,,
site,record_identifiers,,radio,Site,"kumc, kumc | uab, uab | umb, umb",,,,,,,,,,,,
record_id_desc,record_identifiers,,descriptive,"There will be matching ids in multiple source projects.

The record Id will be unique to this project and will not necessarily be the record id in the originating project.

If allowed, we can store a source code and the record id from the site projects.

If this will be a longitudinal project with updates for existing records being submitted over time, the actual record id in this project could be a combination of these 2 fields, or a value derived from these values that can be reliably reproduced when accepting new longitudinal data.

",,,,,,,,,,,,,
visdat,demographics,,text,"visit date",,,date_mdy,1917-01-01,2099-12-31,,,,,,,,DMDTC
age,demographics,,text,"Age in years",,,integer,0,100,,,,,,,,"DM/AGE
AGEU = years"
sex,demographics,,radio,Sex,"1, Male | 2, Female",,,,,,,y,,,,,DM/SEX
ethnic,demographics,,radio,"What is the ethnicity of the subject?","1, Hispanic or Latino | 2, Not Hispanic or Latino | NA, Unknown","Study participants should self-report ethnicity, with ethnicity being asked about before race. Select one.",,,,,,,,,,,DM/RACE
race,demographics,,checkbox,"What is the race of the subject?","1, Black or African American | 2, American Indian or Alaska Native | 3, Asian | 4, Native Hawaiian or Other Pacific Islander | 5, White | 6, Other","Study participants should self-report race, with race being asked about after ethnicity. Check all that apply.",,,,,,,,,,,DM/ETHNIC
other_race,demographics,,text,"Other Race",,,,,,,,,,,,,
govinsur,demographics,,yesno,"national_health_insurance_or_government_coverage
",,,,,,,,,,,,,
employerins,demographics,,yesno,"employer_provided_private_health_insurance
",,,,,,,,,,,,,
selfinsur,demographics,,yesno,"self insured
",,,,,,,,,,,,,
noinsur,demographics,,yesno,"no health insurance
",,,,,,,,,,,,,
educlevel,demographics,,radio,"highest level of education","1, Elementary/primary school | 2, Secondary/high school | 3, University | 4, Unknown",,,,,,,,,,,,
adpkd_status,akpd_diagnosis,,radio,adpkd_status,"1, Yes | 0, No | NA, NA",,,,,,,,,,,,
adpkd_yn,akpd_diagnosis,,yesno,"adpkd Y/N",,,,,,,,,,,,,
diagnosisage,akpd_diagnosis,,text,"age_adpkd_diagnosed_yr
",,,number,,,,,,,,,,
pmhich,adpkd_hx,,radio,PMH_ICH,"0, no | NA, unknown",,,,,,,,,,,,
pmhuti,adpkd_hx,,radio,"History of UTI","1, YES | 0, NO | UNK, Unknown","Pyelonephritis or cystitis",,,,,,,,,,,"MHTERM = Urinary tract infection
MHPRESP = Y
MHOCCUR = Y/N"
mhcystinfect,adpkd_hx,,radio,"History of cyst infection","1, YES | 0, NO | UNK, Unknown",,,,,,,,,,,,"MHTERM = Cyst infection
MHPRESP = Y
MHOCCUR = Y/N"
pmhflankpain,adpkd_hx,,radio,"History of flank pain","1, YES | 0, NO | UNK, Unknown","Painful sensation in the region below the ribs and above the hip.",,,,,,,,,,,"MHTERM = Flank pain
MHPRESP = Y
MHOCCUR = Y/N"
age_onset_pain,adpkd_hx,,text,"Age onset flank pain",,,number,,,,,,,,,,
mhabdopain,adpkd_hx,,radio,"History of abdominal pain","1, YES | 0, NO | UNK, Unknown","Painful sensation in the abdominal region.",,,,,,,,,,,"MHTERM = Abdominal pain
MHPRESP = Y
MHOCCUR = Y/N"
mhbackpain,adpkd_hx,,radio,"History of back pain","1, YES | 0, NO | UNK, Unknown","Painful sensation in the back region.",,,,,,,,,,,"MHTERM = Back pain
MHPRESP = Y
MHOCCUR = Y/N"
mhhernia,adpkd_hx,,radio,PMH_HERNIA,"1, Yes | 0, No",,,,,,,,,,,,
partentdx,birth_and_perinatal_history,,radio,prenatal_diagnosis,"1, yes | 0, no | UNK, unknown",,,,,,,,,,,,
rpamenarage,reproductive_history,,text,"Age at menarche",,"Age of first menstruation in years",number,0,100,,,,,,,,"RPTESTCD = MENARAGE
RPORRESU = Years"
infertility_hx,reproductive_history,,yesno,infertility_hx,,,,,,,,,,,,,
rpnumpreg,reproductive_history,,text,"Number of pregnancies",,"How many times a woman has been pregnant, regardless of the outcome of the pregnancy (sometimes referred to as gravidity).",number,0,20,,,,,,,,"RPTESTCD = NUMPREG"
parity,reproductive_history,,text,parity,,,integer,,,,,,,,,,
rpnumliv,reproductive_history,,text,"Number of live births",,"How many times a woman has been pregnant and delivered (parity).",number,0,20,,,,,,,,"RPTESTCD = NUMLIV"
rppregnt,reproductive_history,,yesno,"Currently pregnant?",,"Select YES or NO",,,,,,,,,,,"RPTESTCD = PREGNT"
rpmenostat,reproductive_history,"<center> Female reproductive history  </center>",yesno,"What is the subject's menopause status?",,"Leave this section blank if patient is male",,,,,,,,,,,"RPTESTCD = MENOSTAT
RPORRES (multiple)"
rpmenopage,reproductive_history,,text,"Age of menopause",,Years,number,0,100,,,,,,,,"RPTESTCD = MENOPAGE
RPORRESU = Years"
uti_preg,reproductive_history,,yesno,uti_preg,,,,,,,,,,,,,
pet_preg,reproductive_history,,yesno,pet_preg,,,,,,,,,,,,,
eclampsia_preg,reproductive_history,,yesno,eclampsia_preg,,,,,,,,,,,,,
preg_prot,reproductive_history,,yesno,preg_prot,,,,,,,,,,,,,
pih,reproductive_history,,yesno,pih,,,,,,,,,,,,,
preterm_labor,reproductive_history,,yesno,preterm_labor,,,,,,,,,,,,,
iugr,reproductive_history,,yesno,iugr,,,,,,,,,,,,,
ectopic,reproductive_history,,yesno,ectopic,,,,,,,,,,,,,
miscarr,reproductive_history,,yesno,miscarr,,,,,,,,,,,,,
spabort,reproductive_history,,yesno,spabort,,,,,,,,,,,,,
tabort,reproductive_history,,yesno,tabort,,,,,,,,,,,,,
electabort,reproductive_history,,yesno,electabort,,,,,,,,,,,,,
stillbirth,reproductive_history,,yesno,stillbirth,,,,,,,,,,,,,
gest_dm,reproductive_history,,yesno,gest_dm,,,,,,,,,,,,,
preg_edema,reproductive_history,,yesno,preg_edema,,,,,,,,,,,,,
preg_hemat,reproductive_history,,yesno,preg_hemat,,,,,,,,,,,,,
preg_aki,reproductive_history,,yesno,preg_aki,,,,,,,,,,,,,
preg_complic_other,reproductive_history,,text,preg_complic_other,,,,,,,,,,,,,
contracep_method,reproductive_history,,text,contracep_method,,,,,,,,,,,,,
contracep_other,reproductive_history,,text,contracep_other,,,,,,,,,,,,,
hormone_type,reproductive_history,,text,hormone_type,,,,,,,,,,,,,
hormcontracep_age,reproductive_history,,text,hormcontracep_age,,,,,,,,,,,,,
hormcontracep_dur,reproductive_history,,text,hormcontracep_dur,,,,,,,,,,,,,
estreplage,reproductive_history,,text,estreplage,,,,,,,,,,,,,
estrepldur,reproductive_history,,text,estrepldur,,,,,,,,,,,,,
infertrxage,reproductive_history,,text,infertrxage,,,,,,,,,,,,,
infertrxdur,reproductive_history,,text,infertrxdur,,,,,,,,,,,,,
fmdescr,family_history,,descriptive,"<span style=""font-weight: lighter;""><font color=""blue""> In this form provide information about all blood-related family members of the patient that are known to have ADPKD. Entering data on first-degree relatives that are unaffected or of unknown ADPKD status is optional. </font></span style>",,,,,,,,,,,,,"NOT MAPPED"
fmhistpkd,family_history,,radio,"Does the patient have a family history of ADPKD","1, YES | 0, NO | UNK, Unknown","Does the subject have any blood-related family members diagnosed with ADPKD by imaging, genetic testing or autopsy? Choose Unknown"" if patient was adopted.",,,,,,,,,,,"FAMH
FAOBJ = ADPKD
FATEST = Family history
FAPRESP = Y
FAORRES = Y/N/Unknown"
mthr,family_history,,radio,mother,"1, Yes | 0, No | NA, N/A",,,,,,,,,,,,"APMH
APID assigned to relative
RSUBJID = studyid
SREL = ?"
fthr,family_history,,radio,father,"1, Yes | 0, No | NA, N/A",,,,,,,,,,,,"APMH
APID assigned to relative
RSUBJID = studyid
SREL = ?"
prcon,family_history,,radio,"parental consanguinity","1, Yes | 0, No | NA, N/A",,,,,,,,,,,,
sualcodrinks,substance_use,,text,"Amount of alcohol intake daily",,,number,0,20,,,,,,,,"SUCAT = Alcohol
SUTRT = Alcoholic beverages
SUDOSE
SUDOSU = Drinks
SUDOSFRQ = QD"
sucannab,substance_use,,radio,"cannabis use","1, yes | 0, no | UNK, Unknown",,,,,,,,,,,,
suamphet,substance_use,,radio,"amphetamine use","1, YES | 0, NO | UNK, Unknown",,,,,,,,,,,,
sucocaineinh,substance_use,,radio,"cocaine use inhaled","1, YES | 0, NO | UNK, Unknown",,,,,,,,,,,,
sucocaineinj,substance_use,,radio,"cocaine use injected","1, YES | 0, NO | UNK, Unknown",,,,,,,,,,,,
suheroininh,substance_use,,radio,"heroin use inhaled","1, YES | 0, NO | UNK, Unknown",,,,,,,,,,,,
suheroininj,substance_use,,radio,"heroin use injected","1, YES | 0, NO | UNK, Unknown",,,,,,,,,,,,
envtoxin,env_nephrotoxins,,radio,envtoxin,"1, YES | 0, NO | UNK, Unknown",,,,,,,,,,,,
occupation,env_nephrotoxins,,text,occupation,,,,,,,,,,,,,
homeexpos,env_nephrotoxins,,radio,homeexpos,"1, YES | 0, NO | UNK, Unknown",,,,,,,,,,,,
workexpos,env_nephrotoxins,,radio,workexpos,"1, YES | 0, NO | UNK, Unknown",,,,,,,,,,,,
otherexpos,env_nephrotoxins,,radio,otherexpos,"1, YES | 0, NO | UNK, Unknown",,,,,,,,,,,,
otherexpos_spec,env_nephrotoxins,,text,otherexpos_spec,,,,,,,,,,,,,
contrast,env_nephrotoxins,,radio,contrast,"1, YES | 0, NO | UNK, Unknown",,,,,,,,,,,,
contrastnum,env_nephrotoxins,,text,contrastnum,,,,,,,,,,,,,
nephrolithot,env_nephrotoxins,,radio,nephrolithot,"1, YES | 0, NO | UNK, Unknown",,,,,,,,,,,,
bldtransf,env_nephrotoxins,,radio,bldtransf,"1, YES | 0, NO | UNK, Unknown",,,,,,,,,,,,
bldtransfnum,env_nephrotoxins,,text,bldtransfnum,,,,,,,,,,,,,
tolvaptan_treat,concomitant_meds,,radio,tolvaptan_treatment_current_yn,"1, Yes | 0, No | NA, N/A",,,,,,,,,,,,
employstatus,work,,radio,employstatus,"1, Yes | 0, No | NA, N/A",,,,,,,,,,,,
employfull,work,,radio,employfull,"1, Yes | 0, No | NA, N/A",,,,,,,,,,,,
employpart,work,,radio,employpart,"1, Yes | 0, No | NA, N/A",,,,,,,,,,,,
workhr,work,,text,workhr,,,,,,,,,,,,,
limitbypkd,work,,radio,limitbypkd,"1, Yes | 0, No | NA, N/A",,,,,,,,,,,,
reasonunempl,work,,radio,reasonunempl,"1, Yes | 0, No | NA, N/A",,,,,,,,,,,,
retiredpkd,work,,radio,retiredpkd,"1, Yes | 0, No | NA, N/A",,,,,,,,,,,,
retiredat,work,,text,retiredat,,,,,,,,,,,,,
unabletowork,work,,radio,unabletowork,"1, Yes | 0, No | NA, N/A",,,,,,,,,,,,
dateunabletowork,work,,text,dateunabletowork,,,,,,,,,,,,,
reasonunempl_other,work,,text,reasonunempl_other,,,,,,,,,,,,,
height_m,physical_exam,,text,height_exam_meters,,,,,,,,,,,,,
weight,physical_exam,,text,weight_exam_kg,,,,,,,,,,,,,
bmi,physical_exam,,calc,bmi_kg/m2,round([weight]*10000/([height_m]*[height_m])),,,,,,,,,,,,
waist,physical_exam,,text,waist_circumference_cm,,,,,,,,,,,,,
temp,physical_exam,,text,temp_exam_F,,,,,,,,,,,,,
average_hr3,physical_exam,,text,pulse_avg3_bpm,,,,,,,,,,,,,
average_sysbp3,physical_exam,,text,sbp_avg3_mmHg,,,,,,,,,,,,,
average_diabp3,physical_exam,,text,dbp_avg3_mmHg,,,,,,,,,,,,,
tanner_stage,physical_exam,,radio,tanner_stage,"1, Stage 1 | 2, Stage 2 | 3, Stage 3 | 4, Stage 4",,,,,,,,,,,,
creatinine,lab_results,,text,serum_creatinine_mg/dL,,,number,,,,,,,,,,
kidmri_dat,mri_imaging,,text,kidney_mri_date,,,date_mdy,,,,,,,,,,
gentest,genetics,,yesno,"Has the subject had genetic testing",,,,,,,,,,,,,
pkd1gentest,genetics,,radio,"Evidence of genetic diagnosis of ADPKD1","1, Mutation found in sequencing | 2, Positive result based on linkage only | 3, No mutation found on test | 4, Sequence variant of unclear significance | 5, Test result not known",,,,,,,,,,,,
pkd1muttype,genetics,,radio,"Type of PKD1 mutation","1, Missense | 2, Frame shift | 3, Splice site | 4, Truncation | 5, Insertion | 6, Deletion | 7, Insertion-deletion | 8, Non-truncating, not otherwise specified | 9, Other",,,,,,,,,,,,
pkd1mutdesc,genetics,,text,,,,,,,,,,,,,,
pkd2gentest,genetics,,radio,"Evidence of genetic diagnosis of ADPKD2","1, Mutation found in sequencing | 2, Positive result based on linkage only | 3, No mutation found on test | 4, Sequence variant of unclear significance | 5, Test result not known",,,,,,,,,,,,
pkd2muttype,genetics,,radio,"Type of PKD2 mutation","1, Missense | 2, Frame shift | 3, Splice site | 4, Truncation | 5, Insertion | 6, Deletion | 7, Insertion-deletion | 8, Non-truncating, not otherwise specified | 9, Other",,,,,,,,,,,,
pkd2mutdesc,genetics,,text,,,,,,,,,,,,,,
pa1,health_behavior_and_social_history,"Physical Activity Questionnaire",radio,"1. Walking for exercise","1, Yes|0, No|88, Don't Know",,,,,,,,,,physicalactivity,,
pa2,health_behavior_and_social_history,,radio,"2. Moderately strenuous household chores (e.g., scrubbing, vacuuming","1, Yes|0, No|88, Don't Know",,,,,,,,,,physicalactivity,,
pa3,health_behavior_and_social_history,,radio,"3. Mowing the lawn","1, Yes|0, No|88, Don't Know",,,,,,,,,,physicalactivity,,
pa4,health_behavior_and_social_history,,radio,"4. Raking the lawn","1, Yes|0, No|88, Don't Know",,,,,,,,,,physicalactivity,,
pa5,health_behavior_and_social_history,,radio,"5. Gardening","1, Yes|0, No|88, Don't Know",,,,,,,,,,physicalactivity,,
pa6,health_behavior_and_social_history,,radio,"6. Hiking","1, Yes|0, No|88, Don't Know",,,,,,,,,,physicalactivity,,
pa7,health_behavior_and_social_history,,radio,"7. Jogging","1, Yes|0, No|88, Don't Know",,,,,,,,,,physicalactivity,,
pa8,health_behavior_and_social_history,,radio,"8. Biking","1, Yes|0, No|88, Don't Know",,,,,,,,,,physicalactivity,,
pa9,health_behavior_and_social_history,,radio,"9. Exercising Cycle","1, Yes|0, No|88, Don't Know",,,,,,,,,,physicalactivity,,
pa10,health_behavior_and_social_history,,radio,"10. Dancing","1, Yes|0, No|88, Don't Know",,,,,,,,,,physicalactivity,,
pa11,health_behavior_and_social_history,,radio,"11. Aerobics / Aerobic Dance","1, Yes|0, No|88, Don't Know",,,,,,,,,,physicalactivity,,
pa12,health_behavior_and_social_history,,radio,"12. Bowling","1, Yes|0, No|88, Don't Know",,,,,,,,,,physicalactivity,,
pa13,health_behavior_and_social_history,,radio,"13. Golf","1, Yes|0, No|88, Don't Know",,,,,,,,,,physicalactivity,,
pa14,health_behavior_and_social_history,,radio,"14. Calisthenics / General Exercise","1, Yes|0, No|88, Don't Know",,,,,,,,,,physicalactivity,,
pa15,health_behavior_and_social_history,,radio,"15. Swimming","1, Yes|0, No|88, Don't Know",,,,,,,,,,physicalactivity,,
pa16,health_behavior_and_social_history,,radio,"16. Other Activities","1, Yes|0, No|88, Don't Know",,,,,,,,,,physicalactivity,,
pa1a,health_behavior_and_social_history,,text,"1a. # of times in the past two weeks [ Walking for exercise]",,,number,1,14,,"[pa1] = '1'",,,,,,
pa1b,health_behavior_and_social_history,,text,"1b. # of hours spent per session [ Walking for exercise]",,,number,1,6,,"[pa1] = '1'",,,,,,
pa1c,health_behavior_and_social_history,,text,"1c. # of minutes spent per session [ Walking for exercise]",,,number,15,59,,"[pa1] = '1'",,,,,,
pa1d,health_behavior_and_social_history,,text,"1d. # of months per year spent on activity [ Walking for exercise]",,,number,1,12,,"[pa1] = '1'",,,,,,
pa2a,health_behavior_and_social_history,,text,"2a. # of times in the past two weeks [ Moderately strenuous household chores (e.g., scrubbing, vacuuming)]",,,number,1,14,,"[pa2] = '1'",,,,,,
pa2b,health_behavior_and_social_history,,text,"2b. # of hours spent per session [ Moderately strenuous household chores (e.g., scrubbing, vacuuming)]",,,number,1,6,,"[pa2] = '1'",,,,,,
pa2c,health_behavior_and_social_history,,text,"2c. # of minutes spent per session [ Moderately strenuous household chores (e.g., scrubbing, vacuuming)]",,,number,15,59,,"[pa2] = '1'",,,,,,
pa2d,health_behavior_and_social_history,,text,"2d. # of months per year spent on activity [ Moderately strenuous household chores (e.g., scrubbing, vacuuming)]",,,number,1,12,,"[pa2] = '1'",,,,,,
pa3a,health_behavior_and_social_history,,text,"3a. # of times in the past two weeks [Mowing the lawn]",,,number,1,14,,"[pa3] = '1'",,,,,,
pa3b,health_behavior_and_social_history,,text,"3b. # of hours spent per session [Mowing the lawn]",,,number,1,6,,"[pa3] = '1'",,,,,,
pa3c,health_behavior_and_social_history,,text,"3c. # of minutes spent per session [Mowing the lawn]",,,number,15,59,,"[pa3] = '1'",,,,,,
pa3d,health_behavior_and_social_history,,text,"3d. # of months per year spent on activity [Mowing the lawn]",,,number,1,12,,"[pa3] = '1'",,,,,,
pa4a,health_behavior_and_social_history,,text,"4a. # of times in the past two weeks [Raking the lawn]",,,number,1,14,,"[pa4] = '1'",,,,,,
pa4b,health_behavior_and_social_history,,text,"4b. # of hours spent per session [Raking the lawn]",,,number,1,6,,"[pa4] = '1'",,,,,,
pa4c,health_behavior_and_social_history,,text,"4c. # of minutes spent per session [Raking the lawn]",,,number,15,59,,"[pa4] = '1'",,,,,,
pa4d,health_behavior_and_social_history,,text,"4d. # of months per year spent on activity [Raking the lawn]",,,number,1,12,,"[pa4] = '1'",,,,,,
pa5a,health_behavior_and_social_history,,text,"5a. # of times in the past two weeks [Gardening]",,,number,1,14,,"[pa5] = '1'",,,,,,
pa5b,health_behavior_and_social_history,,text,"5b. # of hours spent per session [Gardening]",,,number,1,6,,"[pa5] = '1'",,,,,,
pa5c,health_behavior_and_social_history,,text,"5c. # of minutes spent per session [Gardening]",,,number,15,59,,"[pa5] = '1'",,,,,,
pa5d,health_behavior_and_social_history,,text,"5d. # of months per year spent on activity [Gardening]",,,number,1,12,,"[pa5] = '1'",,,,,,
pa6a,health_behavior_and_social_history,,text,"6a. # of times in the past two weeks [Hiking]",,,number,1,14,,"[pa6] = '1'",,,,,,
pa6b,health_behavior_and_social_history,,text,"6b. # of hours spent per session [Hiking]",,,number,1,6,,"[pa6] = '1'",,,,,,
pa6c,health_behavior_and_social_history,,text,"6c. # of minutes spent per session [Hiking]",,,number,15,59,,"[pa6] = '1'",,,,,,
pa6d,health_behavior_and_social_history,,text,"6d. # of months per year spent on activity [Hiking]",,,number,1,12,,"[pa6] = '1'",,,,,,
pa7a,health_behavior_and_social_history,,text,"7a. # of times in the past two weeks [Jogging]",,,number,1,14,,"[pa7] = '1'",,,,,,
pa7b,health_behavior_and_social_history,,text,"7b. # of hours spent per session [Jogging]",,,number,1,6,,"[pa7] = '1'",,,,,,
pa7c,health_behavior_and_social_history,,text,"7c. # of minutes spent per session [Jogging]",,,number,15,59,,"[pa7] = '1'",,,,,,
pa7d,health_behavior_and_social_history,,text,"7d. # of months per year spent on activity [Jogging]",,,number,1,12,,"[pa7] = '1'",,,,,,
pa8a,health_behavior_and_social_history,,text,"8a. # of times in the past two weeks [Biking]",,,number,1,14,,"[pa8] = '1'",,,,,,
pa8b,health_behavior_and_social_history,,text,"8b. # of hours spent per session [Biking]",,,number,1,6,,"[pa8] = '1'",,,,,,
pa8c,health_behavior_and_social_history,,text,"8c. # of minutes spent per session [Biking]",,,number,15,59,,"[pa8] = '1'",,,,,,
pa8d,health_behavior_and_social_history,,text,"8d. # of months per year spent on activity [Biking]",,,number,1,12,,"[pa8] = '1'",,,,,,
pa9a,health_behavior_and_social_history,,text,"9a. # of times in the past two weeks [Exercising Cycle]",,,number,1,14,,"[pa9] = '1'",,,,,,
pa9b,health_behavior_and_social_history,,text,"9b. # of hours spent per session [Exercising Cycle]",,,number,1,6,,"[pa9] = '1'",,,,,,
pa9c,health_behavior_and_social_history,,text,"9c. # of minutes spent per session [Exercising Cycle]",,,number,15,59,,"[pa9] = '1'",,,,,,
pa9d,health_behavior_and_social_history,,text,"9d. # of months per year spent on activity [Exercising Cycle]",,,number,1,12,,"[pa9] = '1'",,,,,,
pa10a,health_behavior_and_social_history,,text,"10a. # of times in the past two weeks [Dancing]",,,number,1,14,,"[pa10] = '1'",,,,,,
pa10b,health_behavior_and_social_history,,text,"10b. # of hours spent per session [Dancing]",,,number,1,6,,"[pa10] = '1'",,,,,,
pa10c,health_behavior_and_social_history,,text,"10c. # of minutes spent per session [Dancing]",,,number,15,59,,"[pa10] = '1'",,,,,,
pa10d,health_behavior_and_social_history,,text,"10d. # of months per year spent on activity [Dancing]",,,number,1,12,,"[pa10] = '1'",,,,,,
pa11a,health_behavior_and_social_history,,text,"11a. # of times in the past two weeks [Aerobics / Aerobic Dance]",,,number,1,14,,"[pa11] = '1'",,,,,,
pa11b,health_behavior_and_social_history,,text,"11b. # of hours spent per session [Aerobics / Aerobic Dance]",,,number,1,6,,"[pa11] = '1'",,,,,,
pa11c,health_behavior_and_social_history,,text,"11c. # of minutes spent per session [Aerobics / Aerobic Dance]",,,number,15,59,,"[pa11] = '1'",,,,,,
pa11d,health_behavior_and_social_history,,text,"11d. # of months per year spent on activity [Aerobics / Aerobic Dance]",,,number,1,12,,"[pa11] = '1'",,,,,,
pa12a,health_behavior_and_social_history,,text,"12a. # of times in the past two weeks [Bowling]",,,number,1,14,,"[pa12] = '1'",,,,,,
pa12b,health_behavior_and_social_history,,text,"12b. # of hours spent per session [Bowling]",,,number,1,6,,"[pa12] = '1'",,,,,,
